endpoint_group,sex,age_group,vacc_type_1,time_period,event_count
any_throm_haem,Female,75-80,AZ,0-6,11
any_throm,Female,75-80,AZ,0-6,11
throm_cvst,Female,75-80,AZ,0-6,11
any_haem,Female,75-80,AZ,0-6,0
CVT_SVT,Female,75-80,AZ,0-6,0
any_itp,Female,75-80,AZ,0-6,0
any_throm_haem,Male,75-80,AZ,0-6,17
any_throm,Male,75-80,AZ,0-6,14
throm_cvst,Male,75-80,AZ,0-6,14
any_haem,Male,75-80,AZ,0-6,1
CVT_SVT,Male,75-80,AZ,0-6,0
any_itp,Male,75-80,AZ,0-6,1
any_throm_haem,Female,70-75,AZ,0-6,6
any_throm,Female,70-75,AZ,0-6,1
throm_cvst,Female,70-75,AZ,0-6,1
any_haem,Female,70-75,AZ,0-6,1
CVT_SVT,Female,70-75,AZ,0-6,0
any_itp,Female,70-75,AZ,0-6,1
any_throm_haem,Male,70-75,AZ,0-6,12
any_throm,Male,70-75,AZ,0-6,9
throm_cvst,Male,70-75,AZ,0-6,9
any_haem,Male,70-75,AZ,0-6,1
CVT_SVT,Male,70-75,AZ,0-6,0
any_itp,Male,70-75,AZ,0-6,0
any_throm_haem,Female,65-70,AZ,0-6,1
any_throm,Female,65-70,AZ,0-6,1
throm_cvst,Female,65-70,AZ,0-6,1
any_haem,Female,65-70,AZ,0-6,0
CVT_SVT,Female,65-70,AZ,0-6,0
any_itp,Female,65-70,AZ,0-6,1
any_throm_haem,Male,65-70,AZ,0-6,8
any_throm,Male,65-70,AZ,0-6,7
throm_cvst,Male,65-70,AZ,0-6,7
any_haem,Male,65-70,AZ,0-6,1
CVT_SVT,Male,65-70,AZ,0-6,0
any_itp,Male,65-70,AZ,0-6,1
any_throm_haem,Female,60-65,AZ,0-6,7
any_throm,Female,60-65,AZ,0-6,1
throm_cvst,Female,60-65,AZ,0-6,1
any_haem,Female,60-65,AZ,0-6,1
CVT_SVT,Female,60-65,AZ,0-6,0
any_itp,Female,60-65,AZ,0-6,1
any_throm_haem,Male,60-65,AZ,0-6,15
any_throm,Male,60-65,AZ,0-6,12
throm_cvst,Male,60-65,AZ,0-6,12
