endpoint_group,sex,age_group,vacc_status,event_count
any_throm_haem,Female,15-20,AZ_27+,5
any_throm_haem,Female,15-20,PB_0-6,NA
any_throm_haem,Female,15-20,PB_14-20,NA
any_throm_haem,Female,15-20,PB_21-27,NA
any_throm_haem,Female,15-20,PB_27+,59
any_throm_haem,Female,15-20,PB_7-13,NA
any_throm_haem,Female,15-20,Unvaccinated,97
any_throm_haem,Female,20-25,AZ_27+,50
any_throm_haem,Female,20-25,AZ_7-13,NA
any_throm_haem,Female,20-25,PB_0-6,NA
any_throm_haem,Female,20-25,PB_14-20,NA
any_throm_haem,Female,20-25,PB_27+,104
any_throm_haem,Female,20-25,PB_7-13,NA
any_throm_haem,Female,20-25,Unvaccinated,211
any_throm_haem,Female,25-30,AZ_14-20,NA
any_throm_haem,Female,25-30,AZ_21-27,NA
any_throm_haem,Female,25-30,AZ_27+,140
any_throm_haem,Female,25-30,AZ_7-13,NA
any_throm_haem,Female,25-30,PB_21-27,NA
any_throm_haem,Female,25-30,PB_27+,177
any_throm_haem,Female,25-30,PB_7-13,NA
any_throm_haem,Female,25-30,Unvaccinated,414
any_throm_haem,Female,30-35,AZ_14-20,6
any_throm_haem,Female,30-35,AZ_21-27,NA
any_throm_haem,Female,30-35,AZ_27+,223
any_throm_haem,Female,30-35,AZ_7-13,NA
any_throm_haem,Female,30-35,PB_0-6,NA
any_throm_haem,Female,30-35,PB_21-27,NA
any_throm_haem,Female,30-35,PB_27+,285
any_throm_haem,Female,30-35,PB_7-13,7
any_throm_haem,Female,30-35,Unvaccinated,730
any_throm_haem,Female,35-40,AZ_0-6,NA
any_throm_haem,Female,35-40,AZ_27+,265
any_throm_haem,Female,35-40,AZ_7-13,5
any_throm_haem,Female,35-40,PB_0-6,6
any_throm_haem,Female,35-40,PB_14-20,NA
any_throm_haem,Female,35-40,PB_21-27,7
any_throm_haem,Female,35-40,PB_27+,268
any_throm_haem,Female,35-40,Unvaccinated,759
any_throm_haem,Female,40-45,AZ_0-6,8
any_throm_haem,Female,40-45,AZ_14-20,14
any_throm_haem,Female,40-45,AZ_21-27,7
any_throm_haem,Female,40-45,AZ_27+,505
any_throm_haem,Female,40-45,AZ_7-13,6
any_throm_haem,Female,40-45,PB_14-20,NA
any_throm_haem,Female,40-45,PB_21-27,NA
any_throm_haem,Female,40-45,PB_27+,231
any_throm_haem,Female,40-45,PB_7-13,NA
any_throm_haem,Female,40-45,Unvaccinated,941
any_throm_haem,Female,45-50,AZ_0-6,NA
any_throm_haem,Female,45-50,AZ_14-20,6
any_throm_haem,Female,45-50,AZ_21-27,5
any_throm_haem,Female,45-50,AZ_27+,470
any_throm_haem,Female,45-50,AZ_7-13,NA
any_throm_haem,Female,45-50,PB_0-6,NA
any_throm_haem,Female,45-50,PB_21-27,NA
any_throm_haem,Female,45-50,PB_27+,276
any_throm_haem,Female,45-50,PB_7-13,NA
any_throm_haem,Female,45-50,Unvaccinated,818
any_throm_haem,Female,50-55,AZ_0-6,7
any_throm_haem,Female,50-55,AZ_14-20,15
any_throm_haem,Female,50-55,AZ_21-27,17
any_throm_haem,Female,50-55,AZ_27+,928
any_throm_haem,Female,50-55,AZ_7-13,15
any_throm_haem,Female,50-55,PB_0-6,5
any_throm_haem,Female,50-55,PB_14-20,7
any_throm_haem,Female,50-55,PB_21-27,NA
any_throm_haem,Female,50-55,PB_27+,457
any_throm_haem,Female,50-55,PB_7-13,NA
any_throm_haem,Female,50-55,Unvaccinated,1487
any_throm_haem,Female,55-60,AZ_0-6,17
any_throm_haem,Female,55-60,AZ_14-20,19
any_throm_haem,Female,55-60,AZ_21-27,17
any_throm_haem,Female,55-60,AZ_27+,1266
any_throm_haem,Female,55-60,AZ_7-13,18
any_throm_haem,Female,55-60,PB_0-6,NA
any_throm_haem,Female,55-60,PB_14-20,NA
any_throm_haem,Female,55-60,PB_21-27,6
any_throm_haem,Female,55-60,PB_27+,401
any_throm_haem,Female,55-60,PB_7-13,NA
any_throm_haem,Female,55-60,Unvaccinated,1593
any_throm_haem,Female,60-65,AZ_0-6,7
any_throm_haem,Female,60-65,AZ_14-20,17
any_throm_haem,Female,60-65,AZ_21-27,9
any_throm_haem,Female,60-65,AZ_27+,1389
any_throm_haem,Female,60-65,AZ_7-13,8
any_throm_haem,Female,60-65,PB_0-6,NA
any_throm_haem,Female,60-65,PB_14-20,8
any_throm_haem,Female,60-65,PB_21-27,NA
any_throm_haem,Female,60-65,PB_27+,370
any_throm_haem,Female,60-65,PB_7-13,NA
any_throm_haem,Female,60-65,Unvaccinated,1655
any_throm_haem,Female,65-70,AZ_0-6,NA
any_throm_haem,Female,65-70,AZ_14-20,12
any_throm_haem,Female,65-70,AZ_21-27,6
any_throm_haem,Female,65-70,AZ_27+,914
any_throm_haem,Female,65-70,AZ_7-13,8
any_throm_haem,Female,65-70,PB_0-6,5
any_throm_haem,Female,65-70,PB_14-20,10
any_throm_haem,Female,65-70,PB_21-27,8
any_throm_haem,Female,65-70,PB_27+,920
any_throm_haem,Female,65-70,PB_7-13,6
any_throm_haem,Female,65-70,Unvaccinated,1807
any_throm_haem,Female,70-75,AZ_0-6,6
any_throm_haem,Female,70-75,AZ_14-20,14
any_throm_haem,Female,70-75,AZ_21-27,7
any_throm_haem,Female,70-75,AZ_27+,1247
any_throm_haem,Female,70-75,AZ_7-13,11
any_throm_haem,Female,70-75,PB_0-6,5
any_throm_haem,Female,70-75,PB_14-20,8
any_throm_haem,Female,70-75,PB_21-27,8
any_throm_haem,Female,70-75,PB_27+,1010
any_throm_haem,Female,70-75,PB_7-13,5
any_throm_haem,Female,70-75,Unvaccinated,1956
any_throm_haem,Female,75-80,AZ_0-6,11
any_throm_haem,Female,75-80,AZ_14-20,22
any_throm_haem,Female,75-80,AZ_21-27,18
any_throm_haem,Female,75-80,AZ_27+,1614
any_throm_haem,Female,75-80,AZ_7-13,18
any_throm_haem,Female,75-80,PB_0-6,6
any_throm_haem,Female,75-80,PB_14-20,NA
any_throm_haem,Female,75-80,PB_21-27,NA
any_throm_haem,Female,75-80,PB_27+,735
any_throm_haem,Female,75-80,PB_7-13,11
any_throm_haem,Female,75-80,Unvaccinated,2146
any_throm_haem,Female,80-85,AZ_0-6,18
any_throm_haem,Female,80-85,AZ_14-20,12
any_throm_haem,Female,80-85,AZ_21-27,20
any_throm_haem,Female,80-85,AZ_27+,1584
any_throm_haem,Female,80-85,AZ_7-13,11
any_throm_haem,Female,80-85,PB_0-6,6
any_throm_haem,Female,80-85,PB_14-20,NA
any_throm_haem,Female,80-85,PB_21-27,NA
any_throm_haem,Female,80-85,PB_27+,339
any_throm_haem,Female,80-85,PB_7-13,8
any_throm_haem,Female,80-85,Unvaccinated,1687
any_throm_haem,Female,85-90,AZ_0-6,11
any_throm_haem,Female,85-90,AZ_14-20,NA
any_throm_haem,Female,85-90,AZ_21-27,13
any_throm_haem,Female,85-90,AZ_27+,1168
any_throm_haem,Female,85-90,AZ_7-13,10
any_throm_haem,Female,85-90,PB_14-20,5
any_throm_haem,Female,85-90,PB_21-27,NA
any_throm_haem,Female,85-90,PB_27+,209
any_throm_haem,Female,85-90,PB_7-13,NA
any_throm_haem,Female,85-90,Unvaccinated,1253
any_throm_haem,Female,90+,AZ_0-6,NA
any_throm_haem,Female,90+,AZ_14-20,7
any_throm_haem,Female,90+,AZ_21-27,5
any_throm_haem,Female,90+,AZ_27+,636
any_throm_haem,Female,90+,AZ_7-13,6
any_throm_haem,Female,90+,PB_0-6,NA
any_throm_haem,Female,90+,PB_14-20,NA
any_throm_haem,Female,90+,PB_27+,137
any_throm_haem,Female,90+,PB_7-13,NA
any_throm_haem,Female,90+,Unvaccinated,802
any_throm_haem,Male,15-20,AZ_27+,NA
any_throm_haem,Male,15-20,PB_21-27,NA
any_throm_haem,Male,15-20,PB_27+,56
any_throm_haem,Male,15-20,Unvaccinated,68
any_throm_haem,Male,20-25,AZ_27+,24
any_throm_haem,Male,20-25,PB_14-20,NA
any_throm_haem,Male,20-25,PB_27+,47
any_throm_haem,Male,20-25,PB_7-13,NA
any_throm_haem,Male,20-25,Unvaccinated,103
any_throm_haem,Male,25-30,AZ_0-6,NA
any_throm_haem,Male,25-30,AZ_14-20,NA
any_throm_haem,Male,25-30,AZ_21-27,NA
any_throm_haem,Male,25-30,AZ_27+,98
any_throm_haem,Male,25-30,AZ_7-13,NA
any_throm_haem,Male,25-30,PB_27+,99
any_throm_haem,Male,25-30,PB_7-13,5
any_throm_haem,Male,25-30,Unvaccinated,226
any_throm_haem,Male,30-35,AZ_0-6,NA
any_throm_haem,Male,30-35,AZ_14-20,NA
any_throm_haem,Male,30-35,AZ_21-27,NA
any_throm_haem,Male,30-35,AZ_27+,164
any_throm_haem,Male,30-35,AZ_7-13,NA
any_throm_haem,Male,30-35,PB_0-6,NA
any_throm_haem,Male,30-35,PB_14-20,NA
any_throm_haem,Male,30-35,PB_21-27,NA
any_throm_haem,Male,30-35,PB_27+,186
any_throm_haem,Male,30-35,PB_7-13,5
any_throm_haem,Male,30-35,Unvaccinated,428
any_throm_haem,Male,35-40,AZ_0-6,NA
any_throm_haem,Male,35-40,AZ_14-20,NA
any_throm_haem,Male,35-40,AZ_27+,201
any_throm_haem,Male,35-40,AZ_7-13,NA
any_throm_haem,Male,35-40,PB_14-20,6
any_throm_haem,Male,35-40,PB_21-27,NA
any_throm_haem,Male,35-40,PB_27+,230
any_throm_haem,Male,35-40,PB_7-13,NA
any_throm_haem,Male,35-40,Unvaccinated,703
any_throm_haem,Male,40-45,AZ_0-6,6
any_throm_haem,Male,40-45,AZ_14-20,8
any_throm_haem,Male,40-45,AZ_21-27,NA
any_throm_haem,Male,40-45,AZ_27+,588
any_throm_haem,Male,40-45,AZ_7-13,11
any_throm_haem,Male,40-45,PB_0-6,NA
any_throm_haem,Male,40-45,PB_14-20,NA
any_throm_haem,Male,40-45,PB_21-27,NA
any_throm_haem,Male,40-45,PB_27+,137
any_throm_haem,Male,40-45,PB_7-13,NA
any_throm_haem,Male,40-45,Unvaccinated,875
any_throm_haem,Male,45-50,AZ_0-6,9
any_throm_haem,Male,45-50,AZ_14-20,7
any_throm_haem,Male,45-50,AZ_21-27,9
any_throm_haem,Male,45-50,AZ_27+,671
any_throm_haem,Male,45-50,AZ_7-13,5
any_throm_haem,Male,45-50,PB_0-6,NA
any_throm_haem,Male,45-50,PB_14-20,NA
any_throm_haem,Male,45-50,PB_21-27,NA
any_throm_haem,Male,45-50,PB_27+,235
any_throm_haem,Male,45-50,PB_7-13,NA
any_throm_haem,Male,45-50,Unvaccinated,1116
any_throm_haem,Male,50-55,AZ_0-6,14
any_throm_haem,Male,50-55,AZ_14-20,15
any_throm_haem,Male,50-55,AZ_21-27,11
any_throm_haem,Male,50-55,AZ_27+,1258
any_throm_haem,Male,50-55,AZ_7-13,10
any_throm_haem,Male,50-55,PB_0-6,NA
any_throm_haem,Male,50-55,PB_14-20,NA
any_throm_haem,Male,50-55,PB_21-27,NA
any_throm_haem,Male,50-55,PB_27+,261
any_throm_haem,Male,50-55,PB_7-13,NA
any_throm_haem,Male,50-55,Unvaccinated,1660
any_throm_haem,Male,55-60,AZ_0-6,9
any_throm_haem,Male,55-60,AZ_14-20,15
any_throm_haem,Male,55-60,AZ_21-27,17
any_throm_haem,Male,55-60,AZ_27+,1656
any_throm_haem,Male,55-60,AZ_7-13,25
any_throm_haem,Male,55-60,PB_0-6,NA
any_throm_haem,Male,55-60,PB_14-20,NA
any_throm_haem,Male,55-60,PB_21-27,NA
any_throm_haem,Male,55-60,PB_27+,338
any_throm_haem,Male,55-60,PB_7-13,5
any_throm_haem,Male,55-60,Unvaccinated,2353
any_throm_haem,Male,60-65,AZ_0-6,15
any_throm_haem,Male,60-65,AZ_14-20,26
any_throm_haem,Male,60-65,AZ_21-27,21
any_throm_haem,Male,60-65,AZ_27+,1944
any_throm_haem,Male,60-65,AZ_7-13,29
any_throm_haem,Male,60-65,PB_0-6,NA
any_throm_haem,Male,60-65,PB_14-20,NA
any_throm_haem,Male,60-65,PB_27+,394
any_throm_haem,Male,60-65,PB_7-13,NA
any_throm_haem,Male,60-65,Unvaccinated,2467
any_throm_haem,Male,65-70,AZ_0-6,8
any_throm_haem,Male,65-70,AZ_14-20,14
any_throm_haem,Male,65-70,AZ_21-27,16
any_throm_haem,Male,65-70,AZ_27+,1158
any_throm_haem,Male,65-70,AZ_7-13,12
any_throm_haem,Male,65-70,PB_0-6,8
any_throm_haem,Male,65-70,PB_14-20,11
any_throm_haem,Male,65-70,PB_21-27,10
any_throm_haem,Male,65-70,PB_27+,1150
any_throm_haem,Male,65-70,PB_7-13,12
any_throm_haem,Male,65-70,Unvaccinated,2156
any_throm_haem,Male,70-75,AZ_0-6,12
any_throm_haem,Male,70-75,AZ_14-20,18
any_throm_haem,Male,70-75,AZ_21-27,12
any_throm_haem,Male,70-75,AZ_27+,1149
any_throm_haem,Male,70-75,AZ_7-13,8
any_throm_haem,Male,70-75,PB_0-6,11
any_throm_haem,Male,70-75,PB_14-20,9
