sex,age_group,AZ,PB,Unvaccinated
Female,15-20,2996,4529,122758
Female,20-25,14237,16602,123059
Female,25-30,17452,22609,142087
Female,30-35,23660,24935,140484
Female,35-40,29197,27302,126917
Female,40-45,33393,30281,108791
Female,45-50,39247,32340,94041
Female,50-55,102184,44348,47679
Female,55-60,131536,48257,20690
Female,60-65,131823,38205,12276
Female,65-70,72376,74080,8005
Female,70-75,63015,73137,5492
Female,75-80,68695,38604,3210
Female,80-85,62630,11975,1967
Female,85-90,40215,6731,1274
Female,90+,20342,5344,1111
Male,15-20,2715,3294,132821
Male,20-25,12943,4885,132920
Male,25-30,13988,7526,156733
Male,30-35,17253,8488,170993
Male,35-40,21348,8938,163712
Male,40-45,26269,10144,148519
Male,45-50,33227,11401,130094
Male,50-55,110152,17008,68475
Male,55-60,147174,20600,29257
Male,60-65,141466,20040,15349
Male,65-70,70696,67193,8874
Male,70-75,57337,66641,5567
Male,75-80,57189,33719,2795
Male,80-85,45874,8618,1418
Male,85-90,25187,3592,768
Male,90+,9773,1627,548
